9010951299114, 11, eduroam, 1c:aa:07:7b:28:00, -79
9010951299114, 11, tudelft-dastud, 1c:aa:07:7b:28:02, -78
9010951299114, 11, , 6c:70:9f:eb:63:a1, -91
9010951299114, 11, CrowdGuest, 6e:a1:63:eb:9f:70, -91
9018793979200, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -81
9018793979200, 11, RFID-AP, 00:22:f7:21:d0:38, -78
9018793979200, 11, , 6c:70:9f:eb:63:a0, -84
9018793979200, 11, TUvisitor, 1c:aa:07:7b:28:01, -80
9018793979200, 11, eduroam, 1c:aa:07:7b:28:00, -79
9018793979200, 11, tudelft-dastud, 1c:aa:07:7b:28:02, -80
9027764201623, 11, RFID-AP, 00:22:f7:21:d0:38, -85
9027764201623, 11, TUvisitor, 1c:aa:07:7b:28:01, -81
9027764201623, 11, eduroam, 1c:aa:07:7b:28:00, -83
9027764201623, 11, tudelft-dastud, 1c:aa:07:7b:28:02, -80
9031058797123, 11, RFID-AP, 00:22:f7:21:d0:38, -85
9031058797123, 11, TUvisitor, 1c:aa:07:7b:28:01, -81
9031058797123, 11, eduroam, 1c:aa:07:7b:28:00, -83
9034528186250, 11, RFID-AP, 00:22:f7:21:d0:38, -82
9034528186250, 11, TUvisitor, 1c:aa:07:7b:28:01, -81
9034528186250, 11, eduroam, 1c:aa:07:7b:28:00, -83
9034528186250, 11, , 6c:70:9f:eb:63:a0, -81
9034528186250, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -81
9039857051544, 11, RFID-AP, 00:22:f7:21:d0:38, -88
9039857051544, 11, , 6c:70:9f:eb:63:a0, -90
9039857051544, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -90
9044946999922, 11, RFID-AP, 00:22:f7:21:d0:38, -82
9044946999922, 11, , 6c:70:9f:eb:63:a0, -90
9044946999922, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -91
9050470154465, 11, RFID-AP, 00:22:f7:21:d0:38, -83
9050470154465, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -91
9055659938885, 11, RFID-AP, 00:22:f7:21:d0:38, -85
9060520740095, 11, RFID-AP, 00:22:f7:21:d0:38, -85
9060520740095, 11, , 6c:70:9f:eb:63:a0, -89
9064242909472, 11, RFID-AP, 00:22:f7:21:d0:38, -84
9064242909472, 11, , 6c:70:9f:eb:63:a0, -89
9068918023391, 11, RFID-AP, 00:22:f7:21:d0:38, -83
9068918023391, 11, , 6c:70:9f:eb:63:a0, -89
9068918023391, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -89
9073731205978, 11, RFID-AP, 00:22:f7:21:d0:38, -79
9073731205978, 11, , 6c:70:9f:eb:63:a0, -89
9073731205978, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -89
9078213954729, 11, RFID-AP, 00:22:f7:21:d0:38, -81
