197205814637, 2, tudelft-dastud, 1c:aa:07:6e:31:a2, -71
197205814637, 2, eduroam, 1c:aa:07:6e:31:a0, -71
197205814637, 2, eduroam, 24:01:c7:76:2a:30, -74
197205814637, 2, TUvisitor, 1c:aa:07:6e:31:a1, -71
197205814637, 2, tudelft-dastud, 1c:aa:07:b0:7a:b2, -67
197205814637, 2, eduroam, 1c:aa:07:b0:7a:b0, -68
197205814637, 2, tudelft-dastud, 1c:aa:07:7b:39:1d, -75
197205814637, 2, tudelft-dastud, 1c:aa:07:b0:7a:bd, -81
197205814637, 2, C150BRS4, 00:22:f7:20:a1:98, -86
197205814637, 2, mfold-dlink, 00:26:5a:a9:99:46, -83
197205814637, 2, mfold-linksys, 00:25:9c:ca:87:ee, -89
197205814637, 2, TUvisitor, 1c:aa:07:6e:31:ae, -79
201976142474, 2, hotspot_mike, 60:36:dd:cb:c1:4f, -47
201976142474, 2, autosound, 80:ea:96:eb:1e:fc, -59
201976142474, 2, autosound, 80:ea:96:eb:1e:fd, -68
201976142474, 2, eduroam, 1c:aa:07:7b:39:10, -64
201976142474, 2, SLDE-™-2, 5c:96:9d:65:76:8d, -65
201976142474, 2, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -75
201976142474, 2, NaoNet3, 00:0c:f6:a6:3c:e8, -77
201976142474, 2, TRIBLER, e0:3f:49:09:d9:98, -70
201976142474, 2, TUvisitor, 1c:aa:07:7b:39:11, -64
201976142474, 2, tudelft-dastud, 1c:aa:07:7b:39:12, -64
201976142474, 2, TUvisitor, 1c:aa:07:b0:7a:b1, -65
201976142474, 2, TRIBLER, e0:3f:49:09:d9:9c, -82
201976142474, 2, TUvisitor, 1c:aa:07:b0:7a:be, -76
201976142474, 2, tudelft-dastud, 1c:aa:07:7b:37:02, -78
201976142474, 2, TUvisitor, 1c:aa:07:7b:39:1e, -75
201976142474, 2, tudelft-dastud, 1c:aa:07:6e:31:a2, -63
201976142474, 2, eduroam, 1c:aa:07:6e:31:a0, -63
201976142474, 2, TUvisitor, 1c:aa:07:6e:31:a1, -71
201976142474, 2, tudelft-dastud, 1c:aa:07:b0:7a:b2, -64
201976142474, 2, eduroam, 1c:aa:07:b0:7a:b0, -63
